"objectid","gdb_geomattr_data","shape","stationid","sampledate","samplingorganization","gear","trawlnumber","datum","overlatitude","overlongitude","startlatitude","startlongitude","startdepth","depthunits","endlatitude","endlongitude","enddepth","decklatitude","decklongitude","trawlfail","ptsensor","ptsensormanufacturer","ptsensorserialnumber","onbottomtemp","comments","globalid","created_user","created_date","last_edited_user","last_edited_date","overtime","starttime","endtime","decktime","onbottomtime","trawloverdistance","trawldeckdistance","trawldistance","trawlovertime","trawldecktime","trawltimetobottom","trawltime","trawldistancetonominaltarget","wireout"
1895,NULL,NULL,"B18-10308","2018-09-18 00:00:00","City of Los Angeles Environmental Monitoring Division","Otter Trawl w. 7.62 meter head rope",1,"NAD83","33.90838333","-118.60863333","33.91085000","-118.59491667","171.00000000","m","33.91270000","-118.58681667","172.00000000","33.91338333","-118.58190000","None","Yes","Lotek","L110A-1831","9.00000000","","{7E0319FF-4550-4A34-8EAA-53FAFF38E911}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","08:39:29","8:50:58","9:03:05","9:14:28","00:08:08","1295.18636855","460.02405031","775.26137220","12.00000000","12.00000000","2.16586349","13.00000000","4.19213329","598.00000000"
1896,NULL,NULL,"B18-10255","2018-09-18 00:00:00","City of Los Angeles Environmental Monitoring Division","Otter Trawl w. 7.62 meter head rope",1,"NAD83","33.86968333","-118.53696667","33.86670000","-118.52956667","70.00000000","m","33.86413333","-118.52320000","68.50000000","33.86361667","-118.52080000","None","Yes","Lotek","L110A-1831","12.00000000","","{18BDC5B4-2C96-460B-9F55-0BC4AA58E229}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","10:47:21","10:54:12","11:04:35","11:11:41","00:09:42","759.50024960","228.92335630","653.45803473","7.00000000","8.00000000","2.38087853","11.00000000","0.13677977","319.00000000"
1897,NULL,NULL,"B18-10006","2018-07-17 00:00:00","City of Los Angeles Environmental Monitoring Division","Otter Trawl w. 7.62 meter head rope",1,"NAD83","33.73991667","-118.16701667","33.73986667","-118.17045000","11.00000000","m","33.73988333","-118.17421667","11.00000000","33.73980000","-118.17525000","None","Yes","Lotek","L110A-1727","19.00000000","Trawl went a little long due to winch gear taking more time than usual to engage.","{5AFB289E-4CD2-421A-BD26-157C5DFE8D74}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","08:31:49","8:33:54","8:40:03","8:42:47","00:08:02","317.51531575","95.99625247","348.29428121","3.00000000","3.00000000","3.64960133","7.00000000","7.83474754","87.00000000"
1898,NULL,NULL,"B18-10005","2018-07-17 00:00:00","City of Los Angeles Environmental Monitoring Division","Otter Trawl w. 7.62 meter head rope",1,"NAD83","33.74500000","-118.17670000","33.74226667","-118.17563333","11.00000000","m","33.73975000","-118.17421667","11.00000000","33.73923333","-118.17381667","None","Yes","Lotek","L110A-1727","19.00000000","","{BB5229E7-E7DE-4106-B3FC-CADD54AC06AD}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","09:26:05","9:28:19","9:33:23","9:35:56","00:04:48","319.53421821","68.32743425","308.98168352","3.00000000","3.00000000","3.67280711","6.00000000","27.79195498","87.00000000"
1899,NULL,NULL,"B18-10008","2018-07-17 00:00:00","City of Los Angeles Environmental Monitoring Division","Otter Trawl w. 7.62 meter head rope",1,"NAD83","33.73470000","-118.20845000","33.73256667","-118.20586667","20.00000000","m","33.73071667","-118.20258333","20.00000000","33.73028333","-118.20140000","None","Yes","Lotek","L110A-1727","17.00000000","","{A82E4CF3-FF1E-4D7C-8322-F89F208514DB}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","10:11:38","10:13:50","10:19:20","10:23:01","00:04:48","336.65798169","119.56888784","366.75074724","3.00000000","4.00000000","2.55043926","6.00000000","7.50669728","132.00000000"
1900,NULL,NULL,"B18-10012","2018-07-17 00:00:00","City of Los Angeles Environmental Monitoring Division","Otter Trawl w. 7.62 meter head rope",1,"NAD83","33.71155000","-118.24660000","33.71275000","-118.24251667","24.00000000","m","33.71401667","-118.23928333","23.50000000","33.71485000","-118.23793333","None","Yes","Lotek","L110A-1727","16.00000000","","{D73CC2BE-1BB4-444D-B08E-2A043B2FB1E3}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","12:30:22","12:33:14","12:38:37","12:42:43","00:04:50","400.56909226","155.49225214","330.57350027","3.00000000","5.00000000","2.70654792","6.00000000","23.02974244","148.00000000"
1901,NULL,NULL,"B18-10007","2018-07-19 00:00:00","City of Los Angeles Environmental Monitoring Division","Otter Trawl w. 7.62 meter head rope",1,"NAD83","33.73186667","-118.21625000","33.73290000","-118.21323333","19.00000000","m","33.73410000","-118.20968333","19.50000000","33.73436667","-118.20848333","None","Yes","Lotek","L110A-1727","17.00000000","","{5CFCD65C-1BE3-485D-85D0-FC255611FF2D}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","08:31:37","8:33:40","8:38:55","8:42:19","00:04:46","301.70058311","114.86017650","354.36110446","3.00000000","4.00000000","2.35703581","6.00000000","17.17415294","128.00000000"
1902,NULL,NULL,"B18-10003","2018-07-19 00:00:00","City of Los Angeles Environmental Monitoring Division","Otter Trawl w. 7.62 meter head rope",1,"NAD83","33.74203333","-118.13685000","33.74305000","-118.13885000","7.00000000","m","33.74516667","-118.14236667","7.00000000","33.74556667","-118.14278333","None","Yes","Lotek","L110A-1727","20.00000000","","{4DC1EB67-76AF-4326-BEDD-2A790DDA5C68}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","09:54:18","9:55:49","10:02:32","10:04:34","00:06:32","216.74358509","58.84227314","401.40085504","2.00000000","3.00000000","3.44037437","7.00000000","12.53372166","63.00000000"
1903,NULL,NULL,"B18-10004","2018-07-19 00:00:00","City of Los Angeles Environmental Monitoring Division","Otter Trawl w. 7.62 meter head rope",1,"NAD83","33.74126667","-118.14976667","33.74208333","-118.15196667","9.50000000","m","33.74371667","-118.15596667","9.50000000","33.74415000","-118.15678333","None","Yes","Lotek","L110A-1727","19.00000000","Trawl went a little long due to winch gear taking more time than usual to engage.","{D733C4F1-169C-4F1B-AD4C-3FC25C3EEFA8}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","11:08:22","11:09:53","11:16:35","11:19:03","00:06:50","222.76975788","89.57365467","412.03832204","2.00000000","3.00000000","2.85602254","7.00000000","13.08190960","78.00000000"
1904,NULL,NULL,"B18-10242","2018-08-02 00:00:00","Marine Biological Consulting","Otter Trawl w. 7.62 meter head rope",1,"WGS84","34.42671000","-120.06690000","34.42495000","-120.06216000","71.00000000","m","34.42326000","-120.05528000","70.00000000","34.42293000","-120.05066000","None","Yes","Lotek","L110A-1834","10.96000000","","{FFDA1075-8AC3-4AC7-A0C4-41AC9E9D1576}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","11:19:00","11:25:00","11:35:00","11:45:00","12:40:00","476.77051078","425.34649702","658.43333937","6.00000000","10.00000000","1.36220146","10.00000000","11.91644269","350.00000000"
1905,NULL,NULL,"B18-10279","2018-08-02 00:00:00","Marine Biological Consulting","Otter Trawl w. 7.62 meter head rope",1,"WGS84","34.41716000","-120.23085000","34.41750000","-120.22180000","158.00000000","m","34.41826000","-120.21318000","150.00000000","34.41891000","-120.20588000","Improper Bottom Time","Yes","Lotek","L110A-1834","9.80000000","Didn't make bottom contact","{CFD967E4-76B6-4FE2-823E-A55E7B94077B}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","08:40:00","08:49:00","08:59:00","09:13:00","00:30:00","831.01176469","673.50417843","795.20565459","9.00000000","14.00000000","1.51093048","10.00000000","0.15310785","550.00000000"
1906,NULL,NULL,"B18-10279","2018-08-02 00:00:00","Marine Biological Consulting","Otter Trawl w. 7.62 meter head rope",2,"WGS84","34.41763000","-120.22493000","34.41810000","-120.21668000","153.00000000","m","34.41851000","-120.21138000","148.00000000","34.42173000","-120.20006000","Other trawl failure","Yes","Lotek","L110A-1834","9.80000000","Red Crab Protocol","{6F16EFF8-D889-4079-8E01-26EC9D3A626D}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","09:32:00","09:41:00","09:51:00","10:30:00","06:50:00","758.56538455","1098.34114157","488.29324279","9.00000000","39.00000000","1.37920979","10.00000000","13.34325847","550.00000000"
1907,NULL,NULL,"B18-10322","2018-08-01 00:00:00","Marine Biological Consulting","Otter Trawl w. 7.62 meter head rope",1,"WGS84","34.34111000","-120.38955000","34.34400000","-120.37200000","289.00000000","m","34.34406000","-120.36525000","289.00000000","34.34103000","-120.35483000","None","Yes","Lotek","L110A-1834","8.36000000","","{14C95289-7F51-4C81-8E11-DE0AA5E48415}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","12:49:00","13:10:00","13:20:00","13:53:00","18:00:00","1643.02226647","1014.26912240","619.75178988","21.00000000","33.00000000","1.82558030","10.00000000","16.72222398","900.00000000"
1908,NULL,NULL,"B18-10838","2018-08-28 00:00:00","Marine Biological Consulting","Otter Trawl w. 7.62 meter head rope",1,"WGS84","34.40948000","-119.89328000","34.41100000","-119.89506000","17.40000000","m","34.41438000","-119.89865000","17.40000000","34.41545000","-119.90030000","Other trawl failure","Yes","Lotek","L110A-1834","16.50000000","T-13; Nothing in net. Repeat to confirm.","{F9730DD2-FCCD-4C4A-8D71-366BAB98D8BE}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","15:32:00","15:36:00","15:46:00","15:51:00","12:20:00","235.01247873","192.52302629","499.71098493","4.00000000","5.00000000","1.56674986","10.00000000","65.52782704","150.00000000"
1909,NULL,NULL,"B18-10838","2018-08-28 00:00:00","Marine Biological Consulting","Otter Trawl w. 7.62 meter head rope",2,"WGS84","34.40951000","-119.89353000","34.41181000","-119.89583000","17.50000000","m","34.41560000","-119.88346000","16.80000000","34.41623000","-119.88581000","None","Yes","Lotek","L110A-1834","16.00000000","Nothing in net. No fish present in trawl, 1 invert, and kelp debris. Heading 270.","{612A47E0-7AB2-4109-833F-126923967D1D}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","16:05:00","16:10:00","16:20:00","16:26:00","12:40:00","331.55074670","226.66467922","1210.47186239","5.00000000","6.00000000","2.21033831","10.00000000","81.52080928","150.00000000"
1910,NULL,NULL,"B18-10329","2018-09-25 00:00:00","Southern California Coastal Water Research Project","Otter Trawl w. 7.62 meter head rope",1,"WGS84","-88.00000000","-88.00000000","-88.00000000","-88.00000000","-88.00000000","m","-88.00000000","-88.00000000","-88.00000000","-88.00000000","-88.00000000","Other trawl failure","No","","","-88.00000000","Abandoned station due to hard bottom with rocks and gravel","{098AEF06-573B-4025-AC86-90581E68167E}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","09:04:00","09:04:00","09:04:00","09:04:00","00:00:00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","13614925.55907987","-88.00000000"
1911,NULL,NULL,"B18-10327","2018-09-25 00:00:00","Southern California Coastal Water Research Project","Otter Trawl w. 7.62 meter head rope",1,"WGS84","34.22381700","-120.27797000","34.25674000","-120.26310000","476.00000000","m","34.26440000","-120.25478000","471.20000000","34.27372000","-120.24686000","Doors - No contact with bottom","Yes","Seabird","39-8658","-88.00000000","Net did not get onto bottom","{915D5E0C-10BF-44D3-BD26-3C21BBB83EC4}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","12:18:00","12:43:00","13:01:00","13:35:00","00:00:00","3907.73379830","1266.35758499","1144.60562549","25.00000000","34.00000000","3.16415692","18.00000000","19.25286013","1235.00000000"
1912,NULL,NULL,"B18-10327","2018-09-25 00:00:00","Southern California Coastal Water Research Project","Otter Trawl w. 7.62 meter head rope",2,"WGS84","34.23089000","-120.28521000","34.25303000","-120.26651000","476.90000000","m","34.26286000","-120.25716000","470.10000000","34.26817000","-120.24976000","None","Yes","Seabird","39-8658","6.90000000","","{432DC999-681A-4E15-9F4E-6CBCB5813B47}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","14:07:00","14:36:00","15:07:00","15:46:00","00:10:20","3002.57425032","900.59039370","1390.37727432","29.00000000","39.00000000","2.19968810","31.00000000","23.87107454","1365.00000000"
1913,NULL,NULL,"B18-10334","2018-09-25 00:00:00","Southern California Coastal Water Research Project","Otter Trawl w. 7.62 meter head rope",1,"WGS84","34.13606000","-120.15678000","34.14856000","-120.12719000","478.70000000","m","34.15033000","-120.11153000","485.50000000","34.14771000","-120.10489000","None","Yes","Seabird","39-8658","6.70000000","","{DE9952ED-5865-4056-8AFB-7646B4B30AF7}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","17:34:00","18:05:00","18:35:00","19:13:00","00:12:10","3057.38019284","676.92868493","1454.44681598","31.00000000","38.00000000","2.12318069","30.00000000","70.90621968","1440.00000000"
1914,NULL,NULL,"B18-10336","2018-09-26 00:00:00","Southern California Coastal Water Research Project","Otter Trawl w. 7.62 meter head rope",1,"WGS84","34.15369000","-120.21335000","34.14585000","-120.18625000","430.40000000","m","34.14246000","-120.17139000","428.80000000","34.14353000","-120.16452000","Improper Bottom Time","Yes","Seabird","39-8658","6.95000000","","{E0D39049-EC4E-4D8B-9CC8-485149839728}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","07:31:00","08:00:00","08:30:00","09:03:00","00:05:20","2641.77755880","643.33892180","1418.53741898","29.00000000","33.00000000","1.97589945","30.00000000","3.69212736","1337.00000000"
1915,NULL,NULL,"B18-10336","2018-09-26 00:00:00","Southern California Coastal Water Research Project","Otter Trawl w. 7.62 meter head rope",2,"WGS84","34.15032000","-120.21380000","34.14491000","-120.18523000","427.40000000","m","34.14246000","-120.17192000","428.40000000","34.14198000","-120.16600000","Other trawl failure","Yes","Seabird","39-8658","7.00000000","See station occupation comments. Catch too big to bring aboard.","{1CE91574-4ED5-49D8-9040-1E85F3287CD4}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","09:58:00","10:25:00","10:56:00","11:32:00","00:15:00","2697.07659445","547.42661324","1254.82939531","27.00000000","36.00000000","1.94453972","31.00000000","45.95545500","1387.00000000"
1916,NULL,NULL,"B18-10280","2018-09-26 00:00:00","Southern California Coastal Water Research Project","Otter Trawl w. 7.62 meter head rope",1,"WGS84","34.39633000","-120.10548000","34.39771000","-120.09283000","189.50000000","m","34.39876000","-120.08333000","172.30000000","34.39944000","-120.07995000","Doors - No contact with bottom","Yes","Seabird","39-8658","-88.00000000","Net did not get onto bottom","{FA0D1DE6-5B79-42F6-81B9-488A3CDFB158}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","14:02:00","14:13:00","14:29:00","14:41:00","00:00:00","1170.75872435","319.19799770","879.41339364","11.00000000","12.00000000","1.67251246","16.00000000","50.20722830","700.00000000"
1917,NULL,NULL,"B18-10280","2018-09-26 00:00:00","Southern California Coastal Water Research Project","Otter Trawl w. 7.62 meter head rope",2,"WGS84","34.39727000","-120.10496000","34.39690000","-120.09469000","190.40000000","m","34.39883000","-120.07977000","169.30000000","34.39984000","-120.07722000","Doors - No contact with bottom","Yes","Seabird","39-8658","-88.00000000","Net did not get onto bottom","{C8C5CC17-9A95-4E6B-950D-F0C9356D9D2F}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","15:04:00","15:15:00","15:45:00","15:59:00","00:00:00","943.18699741","259.51935078","1385.64140583","11.00000000","14.00000000","1.34741000","30.00000000","1.34044754","700.00000000"
1918,NULL,NULL,"B18-10001","2018-07-19 00:00:00","City of Los Angeles Environmental Monitoring Division","Otter Trawl w. 7.62 meter head rope",1,"NAD83","33.75103333","-118.14688333","33.75213333","-118.14871667","7.00000000","m","33.75398333","-118.15166667","7.00000000","33.75445000","-118.15221667","None","Yes","Lotek","L110A-1727","20.00000000","","{7AB915D5-3287-4B73-8014-FC7CF2ADD4BA}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","12:20:17","12:21:44","12:26:53","12:29:06","00:04:54","209.02299327","72.65124880","341.61411355","2.00000000","3.00000000","3.31782529","6.00000000","8.45042558","63.00000000"
1919,NULL,NULL,"B18-10000","2018-07-19 00:00:00","City of Los Angeles Environmental Monitoring Division","Otter Trawl w. 7.62 meter head rope",1,"NAD83","33.75876667","-118.15995000","33.75923333","-118.16166667","5.00000000","m","33.75991667","-118.16503333","5.00000000","33.76008333","-118.16566667","None","Yes","Lotek","L110A-1727","21.00000000","","{73A0D00E-36BF-490B-8C6A-D401D6712F51}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","12:56:04","12:57:12","13:02:19","13:04:24","00:05:04","166.96641452","61.41161828","320.37160818","2.00000000","3.00000000","3.33932829","6.00000000","3.93654449","50.00000000"
1920,NULL,NULL,"B18-10417","2018-07-30 00:00:00","City of Los Angeles Environmental Monitoring Division","Otter Trawl w. 7.62 meter head rope",1,"NAD83","33.73050000","-118.15273333","33.73111667","-118.15586667","13.00000000","m","33.73185000","-118.15935000","13.00000000","33.73205000","-118.16040000","None","Yes","Lotek","L110A-1727","18.00000000","","{2A44265B-CAF1-4D0B-86CA-87F7785CB1EA}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","09:08:36","9:10:36","9:15:44","9:18:39","00:05:10","297.76141043","99.61260027","332.28219548","2.00000000","3.00000000","2.89088748","6.00000000","39.54725304","103.00000000"
1921,NULL,NULL,"B18-10002","2018-07-30 00:00:00","City of Los Angeles Environmental Monitoring Division","Otter Trawl w. 7.62 meter head rope",1,"NAD83","33.74063333","-118.16731667","33.74333333","-118.16826667","10.80000000","m","33.74600000","-118.17008333","10.00000000","33.74665000","-118.17046667","None","Yes","Lotek","L110A-1727","20.00000000","","{FB82F832-4171-4D0E-9B11-0EB2813D03AA}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","10:12:58","10:15:04","10:20:11","10:22:47","00:05:06","312.81272881","80.49936694","340.79049417","3.00000000","3.00000000","3.72396106","6.00000000","11.06900003","84.00000000"
1922,NULL,NULL,"B18-10411","2018-07-30 00:00:00","City of Los Angeles Environmental Monitoring Division","Otter Trawl w. 7.62 meter head rope",1,"NAD83","33.73416667","-118.22078333","33.73548333","-118.21785000","12.00000000","m","33.73745000","-118.21530000","13.00000000","33.73816667","-118.21473333","None","Yes","Lotek","L110A-1727","19.00000000","","{8029064B-1BD3-4620-9EDD-171639C80135}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","11:20:36","11:22:55","11:28:05","11:30:45","00:05:02","308.23861199","95.37383552","321.59485977","3.00000000","3.00000000","3.35041970","6.00000000","3.42287774","92.00000000"
1923,NULL,NULL,"B18-10011","2018-08-01 00:00:00","City of Los Angeles Environmental Monitoring Division","Otter Trawl w. 7.62 meter head rope",1,"NAD83","33.72881667","-118.22263333","33.72623333","-118.22376667","15.00000000","m","33.72408333","-118.22483333","15.00000000","33.72355000","-118.22606667","None","Yes","Lotek","L110A-1727","18.00000000","","{4BF8668B-6AA3-4945-B3A6-F635E2F9DF63}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","09:55:04","9:57:16","10:02:25","10:05:33","00:04:58","305.77817988","128.55893945","258.62178666","3.00000000","4.00000000","2.70600159","6.00000000","34.58684702","113.00000000"
1924,NULL,NULL,"B18-10241","2018-08-02 00:00:00","Marine Biological Consulting","Otter Trawl w. 7.62 meter head rope",1,"WGS84","34.43568000","-120.24765000","34.43586000","-120.24305000","75.00000000","m","34.43570000","-120.23563000","76.00000000","34.43608000","-120.23058000","None","Yes","Lotek","L110A-1834","10.46000000","","{23E5AE3D-B804-4C56-A173-6C1A3C6C4F86}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","07:23:00","07:30:00","07:40:00","07:49:00","09:40:00","422.33684954","465.05433409","680.71469913","7.00000000","9.00000000","1.20667671","10.00000000","21.53335249","350.00000000"
1925,NULL,NULL,"B18-10331","2018-09-25 00:00:00","Southern California Coastal Water Research Project","Otter Trawl w. 7.62 meter head rope",1,"WGS84","-88.00000000","-88.00000000","-88.00000000","-88.00000000","-88.00000000","m","-88.00000000","-88.00000000","-88.00000000","-88.00000000","-88.00000000","Other trawl failure","No","","","-88.00000000","Abandoned station due to location within the federal boundries of Harris Point Marine Reserve, trawling not allowed","{64B512CE-58AA-440C-900B-4033041F9527}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","10:35:00","10:35:00","10:35:00","10:35:00","00:00:00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","13611386.51900777","-88.00000000"
1926,NULL,NULL,"B18-10211","2018-08-27 00:00:00","Aquatic Bioassay and Consulting Laboratories","Otter Trawl w. 7.62 meter head rope",1,"WGS84","34.22793000","-119.35326000","34.22790000","-119.35194000","23.80000000","m","34.22713000","-119.34795000","23.20000000","34.22733000","-119.34832000","None","Yes","Seabird ","39-8658","14.50000000","","{054363BC-47BF-4328-B37F-426EEA91F34F}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","14:04:00","14:06:00","14:16:00","14:19:00","00:12:00","121.40231473","40.64140078","376.68879931","2.00000000","3.00000000","-1.37957176","10.00000000","79.10224851","-88.00000000"
1927,NULL,NULL,"B18-10212","2018-08-27 00:00:00","Aquatic Bioassay and Consulting Laboratories","Otter Trawl w. 7.62 meter head rope",1,"WGS84","34.20016000","-119.29839000","34.19939000","-119.29731000","18.10000000","m","34.19800000","-119.29327000","17.90000000","34.19842000","-119.29365000","None","Yes","Seabird ","39-8658","16.60000000","","{47061D9E-AF31-4AFF-BBEA-323F0AC7650E}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","12:35:00","12:37:00","12:47:00","12:52:00","00:11:10","131.13434392","58.33045971","402.41865669","2.00000000","5.00000000","-1.49016300","10.00000000","49.33278567","-88.00000000"
1928,NULL,NULL,"B18-10214","2018-08-27 00:00:00","Aquatic Bioassay and Consulting Laboratories","Otter Trawl w. 7.62 meter head rope",1,"WGS84","34.12598000","-119.19556000","34.12525000","-119.19403000","14.80000000","m","34.12320000","-119.18941000","14.60000000","34.12355000","-119.19022000","None","Yes","Seabird","39-8658","14.90000000","","{0BC8CA51-88DC-49BA-9CBB-29464D1D9493}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","07:14:00","07:16:00","07:26:00","07:30:00","00:14:30","162.55185331","84.10694125","482.50950892","2.00000000","4.00000000","-1.84718015","10.00000000","31.43078845","-88.00000000"
1929,NULL,NULL,"B18-10221","2018-08-27 00:00:00","Aquatic Bioassay and Consulting Laboratories","Otter Trawl w. 7.62 meter head rope",1,"WGS84","34.08050000","-119.06180000","34.08052000","-119.06058000","17.50000000","m","34.08045000","-119.05730000","16.30000000","34.08058000","-119.05833000","None","Yes","Seabird","39-8658","15.60000000","","{22B132D0-E1DB-4F1D-8502-5BCFC8BFDCD2}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","09:11:00","09:13:00","09:23:00","09:26:00","00:13:00","112.38069904","95.95526245","302.17953067","2.00000000","3.00000000","-1.27705340","10.00000000","45.70685516","-88.00000000"
1930,NULL,NULL,"B18-10300","2018-09-04 00:00:00","Aquatic Bioassay and Consulting Laboratories","Otter Trawl w. 7.62 meter head rope",3,"WGS84","34.08980000","-119.27687000","-88.00000000","-88.00000000","-88.00000000","m","-88.00000000","-88.00000000","-88.00000000","-88.00000000","-88.00000000","Outside Radius Limit","No","Seabird ","39-8658","-88.00000000","Pulled up trawl before it hit bottom.","{88A62410-839D-4ADE-98F2-25A410B83831}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","11:20:00","00:00:00","00:00:00","11:14:00","00:00:00","13607402.59924294","0.00000000","0.00000000","680.00000000","674.00000000","-154629.57499140","0.00000000","13598748.48861075","-88.00000000"
1931,NULL,NULL,"B18-10207","2018-08-08 00:00:00","Aquatic Bioassay and Consulting Laboratories","Otter Trawl w. 7.62 meter head rope",1,"WGS84","34.39643398","-119.66489809","34.39637000","-119.66352000","24.10000000","m","34.39667000","-119.65974000","25.40000000","34.39703000","-119.65953000","None","Yes","Seabird","39-8658","14.88000000","","{6A69024C-44D1-480A-92C2-D89B82B56D0A}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","12:24:00","12:27:00","12:37:00","12:43:00","00:10:45","126.64304699","44.42586507","348.42406755","3.00000000","6.00000000","-1.43912553","10.00000000","38.92284261","-88.00000000"
1932,NULL,NULL,"B18-10215","2018-08-27 00:00:00","Aquatic Bioassay and Consulting Laboratories","Otter Trawl w. 7.62 meter head rope",1,"WGS84","34.10089000","-119.15368000","34.10009400","-119.15208000","15.10000000","m","34.10122000","-119.14841000","13.70000000","34.10180000","-119.14943000","None","Yes","Seabird","39-8658","15.60000000","","{5C911ADE-2EE3-4D85-96E1-2AE59A611704}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","10:36:00","10:37:00","10:47:00","10:50:00","00:13:00","171.86530064","113.92789532","360.36663816","1.00000000","3.00000000","-1.95301478","10.00000000","63.92077365","-88.00000000"
1933,NULL,NULL,"B18-10251","2018-08-28 00:00:00","Aquatic Bioassay and Consulting Laboratories","Otter Trawl w. 7.62 meter head rope",2,"WGS84","34.01627000","-118.91262000","34.01550000","-118.91016000","59.60000000","m","34.01370000","-118.90588000","62.30000000","34.01437000","-118.90685000","Outside Radius Limit","Yes","Seabird","39-8658","-88.00000000","Boat did not go w/in 100 m of nominals","{C918500E-E9B7-48BC-B9EF-57FBA5C40501}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","11:56:00","12:00:00","12:10:00","12:16:00","00:00:00","242.35977535","116.37650384","442.35417646","4.00000000","6.00000000","-2.75408836","10.00000000","173.96500899","-88.00000000"
1934,NULL,NULL,"B18-10251","2018-08-28 00:00:00","Aquatic Bioassay and Consulting Laboratories","Otter Trawl w. 7.62 meter head rope",3,"WGS84","34.01628000","-118.91428000","34.01522000","-118.91153000","62.10000000","m","34.01580000","-118.90855000","57.80000000","34.01624000","-118.91062000","None","Yes","Seabird ","39-8658","12.10000000","","{551FDF82-029C-47D8-BE31-BD1891D31C5B}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","12:36:00","12:39:00","12:49:00","12:58:00","00:16:10","279.52650215","196.95992694","282.13067932","3.00000000","9.00000000","-3.17643752","10.00000000","76.74641849","-88.00000000"
1935,NULL,NULL,"B18-10277","2018-08-01 00:00:00","City of San Diego","Otter Trawl w. 7.62 meter head rope",1,"NAD83","32.58400000","-117.26209000","32.58969000","-117.26425000","57.00000000","m","32.59400000","-117.26547000","58.00000000","32.59509000","-117.26571000","None","Yes","SeaBird","SBE 39 SN: 4375","12.00000000","","{EB6B69D4-2280-409B-AFE7-9615AB9B15FF}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","08:25:20","08:33:28","08:43:37","08:47:57","10:30:00","664.27565130","123.27025832","492.69077315","9.00000000","5.00000000","2.32264214","11.00000000","3.65776444","286.00000000"
1936,NULL,NULL,"B18-10278","2018-08-01 00:00:00","City of San Diego","Otter Trawl w. 7.62 meter head rope",1,"NAD83","32.54599000","-117.19859000","32.55038000","-117.19967000","35.00000000","m","32.55511000","-117.19815000","35.00000000","32.55533000","-117.19699000","None","Yes","SeaBird","SBE 39 SN: 4375","13.00000000","","{B9F381BB-9088-430E-B851-254A2540A410}","checker","2019-06-13 10:04:00","checker","2019-06-13 10:04:00","10:29:30","10:35:03","10:45:15","10:48:28","11:00:00","498.53141909","111.43713778","544.90484307","6.00000000","4.00000000","2.55657138","11.00000000","16.67203881","195.00000000"
